date,time,event,platform,ad_id,client_union_id,campaign_union_id,ad_cost_type,ad_cost,has_video,target_audience_count
2025-05-05,2025-05-05 12:50:22,click,mobile,116,10054,20064,cpi,4.34,0,95786
2025-05-05,2025-05-05 04:53:18,view,mobile,195,10065,20034,cpm,3.9,1,127901
2025-05-02,2025-05-02 01:10:15,install,mobile,107,10068,20054,cpc,0.85,1,166107
2025-05-05,2025-05-05 14:52:23,view,tablet,125,10022,20085,cpm,0.87,0,56955
2025-05-06,2025-05-06 06:19:49,view,web,144,10092,20034,cpi,3.63,0,47582
2025-05-03,2025-05-03 01:18:06,purchase,smart_tv,162,10085,20016,cpc,3.06,0,18899
2025-05-03,2025-05-03 15:34:29,view,mobile,171,10062,20026,cpv,3.61,1,181845
2025-05-06,2025-05-06 00:34:23,install,tablet,185,10057,20021,cpc,2.67,0,190847
2025-05-02,2025-05-02 15:20:49,view,smart_tv,172,10042,20038,cpc,2.86,1,92086
2025-05-02,2025-05-02 14:22:37,purchase,smart_tv,120,10090,20065,cpi,4.44,0,69596
2025-05-03,2025-05-03 02:22:00,click,mobile,159,10069,20009,cpv,1.71,1,193536
2025-05-03,2025-05-03 07:39:12,click,tablet,190,10010,20079,cpi,4.24,1,20311
2025-05-04,2025-05-04 12:40:38,click,web,148,10015,20079,cpm,4.42,0,179735
2025-05-01,2025-05-01 05:07:37,install,tablet,100,10003,20019,cpc,0.87,0,139026
2025-05-04,2025-05-04 22:03:42,click,mobile,148,10089,20058,cpi,3.66,0,25952
2025-05-04,2025-05-04 15:08:49,view,mobile,182,10044,20075,cpc,0.7,1,43153
2025-05-03,2025-05-03 20:07:59,purchase,web,114,10079,20054,cpi,3.84,0,147988
2025-05-01,2025-05-01 22:33:24,install,smart_tv,164,10093,20001,cpv,0.9,0,51093
2025-05-04,2025-05-04 19:45:43,purchase,tablet,108,10049,20063,cpi,3.37,1,62077
2025-05-02,2025-05-02 19:44:14,view,tablet,114,10005,20079,cpv,0.5,0,95541
2025-05-06,2025-05-06 20:37:13,purchase,mobile,163,10055,20002,cpv,0.96,0,123050
2025-05-06,2025-05-06 08:24:43,view,web,162,10006,20091,cpi,4.73,0,120848
2025-05-01,2025-05-01 01:10:01,click,smart_tv,111,10099,20049,cpc,2.69,0,48098
2025-05-05,2025-05-05 14:22:27,click,tablet,160,10005,20072,cpc,2.5,0,10605
2025-05-03,2025-05-03 23:20:09,click,web,159,10078,20096,cpm,3.39,1,153619
2025-05-06,2025-05-06 00:14:05,view,tablet,136,10012,20075,cpv,1.62,1,52094
2025-05-05,2025-05-05 23:51:16,purchase,tablet,135,10060,20036,cpm,3.16,0,41429
2025-05-01,2025-05-01 07:49:41,view,smart_tv,108,10040,20084,cpv,3.89,1,37469
2025-05-04,2025-05-04 20:59:43,purchase,tablet,180,10006,20094,cpv,1.08,0,128785
2025-05-01,2025-05-01 15:59:09,purchase,web,108,10099,20080,cpv,4.79,0,41924
2025-05-04,2025-05-04 08:26:21,click,mobile,170,10047,20048,cpv,0.91,0,169835
2025-05-03,2025-05-03 15:08:51,install,web,195,10056,20016,cpc,1.22,1,154807
2025-05-06,2025-05-06 14:20:07,purchase,mobile,139,10038,20004,cpv,0.72,0,50974
2025-05-06,2025-05-06 03:46:49,click,smart_tv,117,10061,20041,cpi,3.27,1,20884
2025-05-05,2025-05-05 01:04:58,view,mobile,109,10009,20063,cpc,2.17,0,124563
2025-05-02,2025-05-02 09:48:07,view,mobile,125,10061,20016,cpc,0.63,0,104198
2025-05-01,2025-05-01 21:49:28,install,tablet,170,10088,20037,cpc,3.81,1,48034
2025-05-06,2025-05-06 04:34:44,install,mobile,102,10096,20051,cpm,4.1,1,158372
2025-05-02,2025-05-02 21:29:57,purchase,tablet,187,10062,20001,cpi,0.79,0,106529
2025-05-06,2025-05-06 06:04:31,purchase,mobile,156,10099,20055,cpi,3.96,1,199668
2025-05-06,2025-05-06 22:40:00,purchase,tablet,108,10008,20005,cpc,2.73,0,162142
2025-05-05,2025-05-05 00:22:57,click,tablet,190,10049,20081,cpc,3.32,0,50479
2025-05-04,2025-05-04 10:44:21,view,mobile,170,10096,20068,cpv,4.89,0,51874
2025-05-01,2025-05-01 14:07:26,click,web,124,10095,20043,cpi,4.05,1,135364
2025-05-04,2025-05-04 00:50:37,click,tablet,156,10051,20081,cpc,0.93,1,183952
2025-05-06,2025-05-06 14:13:06,click,smart_tv,130,10078,20080,cpi,1.74,0,97325
2025-05-05,2025-05-05 22:09:21,view,web,138,10009,20060,cpm,4.62,0,160869
2025-05-05,2025-05-05 14:26:06,click,smart_tv,171,10069,20017,cpv,1.28,0,19876
2025-05-06,2025-05-06 05:04:53,purchase,web,187,10027,20064,cpv,4.32,1,69943
2025-05-06,2025-05-06 17:25:06,install,web,138,10003,20085,cpm,2.55,1,173333
2025-05-01,2025-05-01 03:06:02,purchase,smart_tv,101,10090,20053,cpi,4.93,1,184391
2025-05-02,2025-05-02 08:17:01,purchase,smart_tv,193,10094,20077,cpi,3.74,1,14299
2025-05-03,2025-05-03 13:30:42,purchase,smart_tv,183,10023,20044,cpi,4.22,0,197347
2025-05-01,2025-05-01 11:51:25,install,tablet,143,10020,20064,cpm,4.39,1,55795
2025-05-04,2025-05-04 20:46:37,view,web,191,10014,20094,cpv,3.37,1,155419
2025-05-03,2025-05-03 07:23:39,purchase,web,157,10083,20072,cpc,1.12,1,32213
